Symbol	Bed chr (hg19)	start	end	chr locus	Annotator	Date updated	Origin	Expansion of gene name	Known function of gene	Variant type	Hom or Het	Variant chr	Variant start	Variant end	Call	Literature 1 (Title; PMID; Lit score)	Literature 2 (Title; PMID; Lit score)	Literature 3 (Title; PMID; Lit score)	Literature 4 (Title; PMID; Lit score)	Literature 5 (Title; PMID; Lit score)	Literature 6 (Title; PMID; Lit score)	Literature 7 (Title; PMID; Lit score)	Free text comments		Pathway
ZDHHC4	chr7	6617064	6628610	7p22.1			Index gene	zinc finger DHHC-type containing 4																	
C7orf26	chr7	6629651	6648357	7p22.1			Index gene	chromosome 7 open reading frame 26																	
ZNF316	chr7	6676952	6697910	7p22.1			Index gene	zinc finger protein 316																	
NDUFA4	chr7	10971579	10979813	7p21.3			Index gene	NDUFA4, mitochondrial complex associated																	
PHF14	chr7	11013498	11209250	7p21.3			Index gene	PHD finger protein 14																	
ANKMY2	chr7	16639400	16685442	7p21.1			Index gene	ankyrin repeat and MYND domain containing 2																	
BZW2	chr7	16685758	16746148	7p21.1			Index gene	basic leucine zipper and W2 domains 2																	
TSPAN13	chr7	16793350	16824161	7p21.1			Index gene	tetraspanin 13																	
KLHL7	chr7	23145352	23215038	7p15.3			Index gene	kelch like family member 7																	
MALSU1	chr7	23338939	23349180	7p15.3			Index gene	mitochondrial assembly of ribosomal large subunit 1																	
TRA2A	chr7	23544400	23571660	7p15.3			Index gene	transformer 2 alpha homolog																	
DFNA5	chr7	24737973	24797639	7p15.3			Index gene	DFNA5, deafness associated tumor suppressor																	
CYCS	chr7	25158269	25164980	7p15.3			Index gene	cytochrome c, somatic																	
HNRNPA2B1	chr7	26229555	26240413	7p15.2			Index gene	heterogeneous nuclear ribonucleoprotein A2/B1																	
CBX3	chr7	26240830	26253227	7p15.2			Index gene	chromobox 3																	
TAX1BP1	chr7	27778991	27869386	7p15.2			Index gene	Tax1 binding protein 1																	
JAZF1	chr7	27870192	28220437	7p15.2-p15.1			Index gene	JAZF zinc finger 1																	
SCRN1	chr7	29959718	30029905	7p14.3			Index gene	secernin 1																	
MTURN	chr7	30174551	30202381	7p14.3			Index gene	maturin, neural progenitor differentiation regulator homolog																	
GGCT	chr7	30536236	30544457	7p14.3			Index gene	gamma-glutamylcyclotransferase																	
GARS	chr7	30634350	30673648	7p14.3			Index gene	glycyl-tRNA synthetase																	
ADCYAP1R1	chr7	31092075	31151093	7p14.3			Index gene	ADCYAP receptor type I																	
KBTBD2	chr7	32907777	32931468	7p14.3			Index gene	kelch repeat and BTB domain containing 2																	
HERPUD2	chr7	35672269	35734772	7p14.2			Index gene	HERPUD family member 2																	
42985	chr7	35840595	35946715	7p14.2			Index gene	septin 7																	
ELMO1	chr7	36892510	37488929	7p14.2-p14.1			Index gene	engulfment and cell motility 1																	
STARD3NL	chr7	38217807	38270272	7p14-p13			Index gene	STARD3 N-terminal like																	
AMPH	chr7	38423296	38671167	7p14.1			Index gene	amphiphysin																	
VPS41	chr7	38763542	38948800	7p14.1			Index gene	VPS41, HOPS complex subunit																	
RALA	chr7	39663151	39747723	7p14.1			Index gene	RAS like proto-oncogene A																	
MPLKIP	chr7	40172341	40174251	7p14.1			Index gene	M-phase specific PLK1 interacting protein																	
PSMA2	chr7	42956461	42971805	7p14.1			Index gene	proteasome subunit alpha 2																	
MRPL32	chr7	42971938	42977453	7p14.1			Index gene	mitochondrial ribosomal protein L32																	
BLVRA	chr7	43798271	43846941	7p13			Index gene	biliverdin reductase A																	
MRPS24	chr7	43906156	43909145	7p13			Index gene	mitochondrial ribosomal protein S24																	
URGCP	chr7	43915492	43966010	7p13			Index gene	upregulator of cell proliferation																	
UBE2D4	chr7	43966034	43995735	7p13			Index gene	ubiquitin conjugating enzyme E2 D4 (putative)																	
DBNL	chr7	44084238	44101316	7p13			Index gene	drebrin like																	
POLD2	chr7	44154278	44163169	7p13			Index gene	DNA polymerase delta 2, accessory subunit																	
YKT6	chr7	44240577	44253893	7p13			Index gene	YKT6 v-SNARE homolog																	
CAMK2B	chr7	44256748	44365230	7p13			Index gene	calcium/calmodulin dependent protein kinase II beta																	
NUDCD3	chr7	44421964	44530385	7p13			Index gene	NudC domain containing 3																	
DDX56	chr7	44605015	44614137	7p13			Index gene	DEAD-box helicase 56																	
TMED4	chr7	44617493	44621894	7p13			Index gene	transmembrane p24 trafficking protein 4																	
OGDH	chr7	44646120	44748669	7p13			Index gene	oxoglutarate dehydrogenase																	
ZMIZ2	chr7	44788164	44809479	7p13			Index gene	zinc finger MIZ-type containing 2																	
PPIA	chr7	44836234	44842722	7p13			Index gene	peptidylprolyl isomerase A																	
CCM2	chr7	45039344	45116069	7p13			Index gene	CCM2 scaffolding protein																	
NACAD	chr7	45120035	45128493	7p13	HT	12/6/2017	Index gene	NAC alpha domain containing		1	het				VOUS	A directed protein interaction network for investigating intracellular signal transduction; PMID: 21900206; 4									
TBRG4	chr7	45139698	45151346	7p13			Index gene	transforming growth factor beta regulator 4																	
ADCY1	chr7	45613738	45762714	7p12.3			Index gene	adenylate cyclase 1																	
GRB10	chr7	50657759	50861159	7p12.1			Index gene	growth factor receptor bound protein 10																	
SEC61G	chr7	54819939	54826939	7p11.2			Index gene	Sec61 translocon gamma subunit																	
LANCL2	chr7	55433140	55501435	7p11.2			Index gene	LanC like 2																	
VOPP1	chr7	55538300	55640213	7p11.2			Index gene	vesicular, overexpressed in cancer, prosurvival protein 1																	
GBAS	chr7	56032269	56067875	#N/A			Index gene	#N/A																	
CCT6A	chr7	56119377	56131682	7p11.2			Index gene	chaperonin containing TCP1 subunit 6A																	
SUMF2	chr7	56131916	56148365	7p11.2			Index gene	sulfatase modifying factor 2																	
CHCHD2	chr7	56169254	56174323	7p11.2			Index gene	coiled-coil-helix-coiled-coil-helix domain containing 2																	
CRCP	chr7	65579804	65619553	7q11.21			Index gene	CGRP receptor component																	
TPST1	chr7	65670258	65825438	7q11.21			Index gene	tyrosylprotein sulfotransferase 1																	
KCTD7	chr7	66093867	66108216	7q11.21			Index gene	potassium channel tetramerization domain containing 7																	
RABGEF1	chr7	66147077	66276448	7q11.21			Index gene	RAB guanine nucleotide exchange factor 1																	
TMEM248	chr7	66386202	66423538	7q11.21			Index gene	transmembrane protein 248																	
SBDS	chr7	66452689	66460588	7q11.21			Index gene	SBDS, ribosome assembly guanine nucleotide exchange factor																	
TYW1	chr7	66461791	66704507	7q11.21			Index gene	tRNA-yW synthesizing protein 1 homolog																	
WBSCR17	chr7	70597522	71178586	7q11.22			Index gene	Williams-Beuren syndrome chromosome region 17																	
BAZ1B	chr7	72854727	72936615	7q11.23			Index gene	bromodomain adjacent to zinc finger domain 1B																	
BCL7B	chr7	72950682	72972065	7q11.23			Index gene	BCL tumor suppressor 7B																	
WBSCR22	chr7	73097897	73112551	#N/A			Index gene	#N/A																	
STX1A	chr7	73113534	73134017	7q11.23			Index gene	syntaxin 1A																	
LIMK1	chr7	73498106	73536855	7q11.23			Index gene	LIM domain kinase 1																	
EIF4H	chr7	73588705	73611429	7q11.23			Index gene	eukaryotic translation initiation factor 4H																	
RFC2	chr7	73645831	73668788	7q11.23			Index gene	replication factor C subunit 2																	
CLIP2	chr7	73703804	73820273	7q11.23			Index gene	CAP-Gly domain containing linker protein 2																	
GTF2I	chr7	74071990	74175022	7q11.23	KH	12/6/2017	Index gene	general transcription factor IIi		1	Het				P	7q11.23 dosage-dependent dysregulation in human pluripotent stem cells affects transcriptional programs in disease-relevant lineages; PMID: 25501393; 1	Partial 7q11.23 deletions further implicate GTF2I and GTF2IRD1 as the main genes responsible for the Williams-Beuren syndrome neurocognitive profile; PMID: 19897463; 1	Intracisternal Gtf2i Gene Therapy Ameliorates Deficits in Cognition and Synaptic Plasticity of a Mouse Model of Williams-Beuren Syndrome; PMID: 26216516; 1	Haploinsufficiency of Gtf2i, a gene deleted in Williams Syndrome, leads to increases in social interactions; PMID: 21328569; 1	GTF2I hemizygosity implicated in mental retardation in Williams syndrome: genotype-phenotype analysis of five families with deletions in the Williams syndrome region; PMID: 14556246; 1	An atypical 7q11.23 deletion in a normal IQ Williams-Beuren syndrome patient; PMID: 19568270;1				
GTF2I	chr7	74071990	74175022	7q11.23	KH	12/6/2017	Index gene	general transcription factor IIi		3	Het				P	7q11.23 dosage-dependent dysregulation in human pluripotent stem cells affects transcriptional programs in disease-relevant lineages; PMID: 25501393; 1	Association of GTF2i in the Williams-Beuren syndrome critical region with autism spectrum disorders; PMID: 22048961; 1								
RHBDD2	chr7	75508316	75518244	7q11.23			Index gene	rhomboid domain containing 2																	
POR	chr7	75544419	75616173	7q11.23			Index gene	cytochrome p450 oxidoreductase																	
TMEM120A	chr7	75616154	75623992	7q11.23			Index gene	transmembrane protein 120A																	
MDH2	chr7	75677336	75696827	7q11.23			Index gene	malate dehydrogenase 2																	
HSPB1	chr7	75931874	75933614	7q11.23			Index gene	heat shock protein family B (small) member 1																	
YWHAG	chr7	75956107	75988342	7q11.23			Index gene	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma																	
TMEM60	chr7	77423044	77427747	7q11.23			Index gene	transmembrane protein 60																	
MAGI2	chr7	77646373	79082890	7q21.11			Index gene	membrane associated guanylate kinase, WW and PDZ domain containing 2																	
GNAI1	chr7	79764139	79848725	7q21.11			Index gene	G protein subunit alpha i1																	
GRM3	chr7	86273229	86494192	7q21.11-q21.12			Index gene	glutamate metabotropic receptor 3																	
DMTF1	chr7	86781676	86825648	7q21.12			Index gene	cyclin D binding myb like transcription factor 1																	
SRI	chr7	87834431	87856308	7q21.12			Index gene	sorcin																	
CDK14	chr7	90225675	90839905	7q21.13			Index gene	cyclin dependent kinase 14																	
CYP51A1	chr7	91741462	91764059	7q21.2			Index gene	cytochrome P450 family 51 subfamily A member 1																	
LRRD1	chr7	91774197	91794590	7q21.2			Index gene	leucine rich repeats and death domain containing 1																	
ANKIB1	chr7	91875547	92030698	7q21.2			Index gene	ankyrin repeat and IBR domain containing 1																	
VPS50	chr7	92861652	92990435	7q21.2-q21.3			Index gene	VPS50, EARP/GARPII complex subunit																	
CASD1	chr7	94139169	94186328	7q21.3			Index gene	CAS1 domain containing 1																	
SGCE	chr7	94214535	94285521	7q21.3			Index gene	sarcoglycan epsilon																	
PEG10	chr7	94285636	94299006	7q21.3			Index gene	paternally expressed 10																	
PON2	chr7	95034173	95064384	7q21.3			Index gene	paraoxonase 2																	
DYNC1I1	chr7	95401817	95739634	7q21.3			Index gene	dynein cytoplasmic 1 intermediate chain 1																	
SHFM1	chr7	96318078	96339203	#N/A			Index gene	#N/A																	
ASNS	chr7	97481428	97501854	7q21.3			Index gene	asparagine synthetase (glutamine-hydrolyzing)																	
BRI3	chr7	97910978	97922275	7q21.3			Index gene	brain protein I3																	
TMEM130	chr7	98444110	98467673	7q22.1			Index gene	transmembrane protein 130																	
ARPC1A	chr7	98923495	98963885	7q22.1			Index gene	actin related protein 2/3 complex subunit 1A																	
PDAP1	chr7	98992297	99006305	7q22.1			Index gene	PDGFA associated protein 1																	
BUD31	chr7	99006600	99017239	7q22.1			Index gene	BUD31 homolog																	
PTCD1	chr7	99014361	99036462	7q22.1			Index gene	pentatricopeptide repeat domain 1																	
ATP5J2-PTCD1	chr7	99014361	99063824	7q22.1			Index gene	ATP5J2-PTCD1 readthrough																	
CPSF4	chr7	99036562	99055000	7q22.1			Index gene	cleavage and polyadenylation specific factor 4																	
ATP5J2	chr7	99055783	99063824	7q22.1			Index gene	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2																	
COPS6	chr7	99686582	99689822	7q22.1			Index gene	COP9 signalosome subunit 6																	
MCM7	chr7	99690350	99699563	7q22.1			Index gene	minichromosome maintenance complex component 7																	
AP4M1	chr7	99699129	99704803	7q22.1			Index gene	adaptor related protein complex 4 mu 1 subunit																	
TAF6	chr7	99704692	99717481	7q22.1			Index gene	TATA-box binding protein associated factor 6																	
LAMTOR4	chr7	99746521	99751835	7q22.1			Index gene	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4																	
C7orf43	chr7	99752042	99756344	7q22.1			Index gene	chromosome 7 open reading frame 43																	
STAG3	chr7	99775346	99812010	7q22.1			Index gene	stromal antigen 3																	
GATS	chr7	99798277	99869855	7q22.1			Index gene	GATS, stromal antigen 3 opposite strand																	
MEPCE	chr7	100026412	100031749	7q22.1			Index gene	methylphosphate capping enzyme																	
NYAP1	chr7	100081549	100092424	7q22.1			Index gene	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1																	
ACTL6B	chr7	100240725	100254084	7q22.1			Index gene	actin like 6B																	
GNB2	chr7	100271362	100276792	7q22.1			Index gene	G protein subunit beta 2																	
POP7	chr7	100303675	100305123	7q22.1			Index gene	POP7 homolog, ribonuclease P/MRP subunit																	
SRRT	chr7	100472700	100486285	7q22.1			Index gene	serrate, RNA effector molecule																	
AP1S1	chr7	100797685	100804557	7q22.1			Index gene	adaptor related protein complex 1 sigma 1 subunit																	
ZNHIT1	chr7	100860984	100867471	7q22.1			Index gene	zinc finger HIT-type containing 1																	
FIS1	chr7	100882892	100888371	7q22.1			Index gene	fission, mitochondrial 1																	
IFT22	chr7	100956647	100965104	7q22.1			Index gene	intraflagellar transport 22																	
CUX1	chr7	101459183	101927250	7q22.1			Index gene	cut like homeobox 1																	
PMPCB	chr7	102937872	102955133	7q22.1			Index gene	peptidase, mitochondrial processing beta subunit																	
PSMC2	chr7	102987970	103009842	7q22.1			Index gene	proteasome 26S subunit, ATPase 2																	
KMT2E	chr7	104654636	104754532	7q22.3			Index gene	lysine methyltransferase 2E																	
SRPK2	chr7	104756820	105029377	7q22.3			Index gene	SRSF protein kinase 2																	
PRKAR2B	chr7	106685177	106802256	7q22.3			Index gene	protein kinase cAMP-dependent type II regulatory subunit beta																	
HBP1	chr7	106809405	106842974	7q22.3			Index gene	HMG-box transcription factor 1																	
COG5	chr7	106842188	107204959	7q22.3			Index gene	component of oligomeric golgi complex 5																	
BCAP29	chr7	107220421	107263762	7q22.3			Index gene	B-cell receptor associated protein 29																	
DLD	chr7	107531551	107561643	7q31.1			Index gene	dihydrolipoamide dehydrogenase																	
NRCAM	chr7	107788070	108096841	7q31.1			Index gene	neuronal cell adhesion molecule																	
PNPLA8	chr7	108110865	108168605	7q31.1			Index gene	patatin like phospholipase domain containing 8																	
DNAJB9	chr7	108210188	108215294	7q31.1			Index gene	DnaJ heat shock protein family (Hsp40) member B9																	
CAPZA2	chr7	116502562	116559313	7q31.2			Index gene	capping actin protein of muscle Z-line alpha subunit 2																	
ST7	chr7	116593380	116870075	7q31.2			Index gene	suppression of tumorigenicity 7																	
PTPRZ1	chr7	121513158	121702090	7q31.32			Index gene	protein tyrosine phosphatase, receptor type Z1																	
WASL	chr7	123321980	123389125	7q31.32			Index gene	Wiskott-Aldrich syndrome like																	
GCC1	chr7	127220681	127225654	7q32.1			Index gene	GRIP and coiled-coil domain containing 1																	
ARF5	chr7	127228405	127231759	7q32.1			Index gene	ADP ribosylation factor 5																	
FSCN3	chr7	127233688	127241851	7q32.1			Index gene	fascin actin-bundling protein 3																	
SND1	chr7	127292042	127732661	7q32.1			Index gene	staphylococcal nuclease and tudor domain containing 1																	
LRRC4	chr7	127667123	127671002	7q32.1			Index gene	leucine rich repeat containing 4																	
IMPDH1	chr7	128032330	128050041	7q32.1			Index gene	inosine monophosphate dehydrogenase 1																	
CALU	chr7	128379345	128413477	7q32.1			Index gene	calumenin																	
CCDC136	chr7	128431463	128462187	7q32.1			Index gene	coiled-coil domain containing 136																	
ATP6V1F	chr7	128502856	128505903	7q32.1			Index gene	ATPase H+ transporting V1 subunit F																	
KCP	chr7	128516918	128550773	7q32.1			Index gene	kielin/chordin-like protein																	
TNPO3	chr7	128594233	128695227	7q32.1			Index gene	transportin 3																	
AHCYL2	chr7	128864854	129070052	7q32.1			Index gene	adenosylhomocysteinase like 2																	
UBE2H	chr7	129470572	129592800	7q32.2			Index gene	ubiquitin conjugating enzyme E2 H																	
COPG2	chr7	130146079	130353598	7q32.2			Index gene	coatomer protein complex subunit gamma 2																	
CHCHD3	chr7	132469622	132766918	7q32.3-q33			Index gene	coiled-coil-helix-coiled-coil-helix domain containing 3																	
EXOC4	chr7	132937822	133750513	7q33			Index gene	exocyst complex component 4																	
AKR1B1	chr7	134127106	134143888	7q33			Index gene	aldo-keto reductase family 1 member B																	
BPGM	chr7	134331530	134364567	7q33			Index gene	bisphosphoglycerate mutase																	
C7orf73	chr7	135347220	135361160	7q33			Index gene	chromosome 7 open reading frame 73																	
MTPN	chr7	135611502	135662204	7q33			Index gene	myotrophin																	
LUZP6_and_MTPN	chr7	135611502	135662204	#N/A			Index gene	#N/A																	
PTN	chr7	136912091	137028611	7q33			Index gene	pleiotrophin																	
LUC7L2	chr7	139025104	139108203	7q34			Index gene	LUC7 like 2, pre-mRNA splicing factor																	
MKRN1	chr7	140152839	140179369	7q34			Index gene	makorin ring finger protein 1																	
DENND2A	chr7	140218218	140341286	7q34			Index gene	DENN domain containing 2A																	
ADCK2	chr7	140372952	140394908	7q34			Index gene	aarF domain containing kinase 2																	
NDUFB2	chr7	140396480	140406446	7q34			Index gene	NADH:ubiquinone oxidoreductase subunit B2																	
MRPS33	chr7	140705960	140714781	7q34			Index gene	mitochondrial ribosomal protein S33																	
SSBP1	chr7	141438120	141450288	7q34			Index gene	single stranded DNA binding protein 1																	
EPHB6	chr7	142552775	142568847	7q34			Index gene	EPH receptor B6																	
GSTK1	chr7	142960521	142966222	7q34			Index gene	glutathione S-transferase kappa 1																	
FAM131B	chr7	143050492	143059840	7q34			Index gene	family with sequence similarity 131 member B																	
ZYX	chr7	143078359	143088206	7q34			Index gene	zyxin																	
CUL1	chr7	148395932	148498202	7q36.1			Index gene	cullin 1																	
PDIA4	chr7	148700153	148725782	7q36.1			Index gene	protein disulfide isomerase family A member 4																	
ATP6V0E2	chr7	149570056	149577801	7q36.1			Index gene	ATPase H+ transporting V0 subunit e2																	
REPIN1	chr7	150065878	150071133	7q36.1			Index gene	replication initiator 1																	
CDK5	chr7	150750898	150755052	7q36.1			Index gene	cyclin dependent kinase 5																	
FASTK	chr7	150773707	150777970	7q36.1			Index gene	Fas activated serine/threonine kinase																	
AGAP3	chr7	150782917	150841523	7q36.1			Index gene	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3																	
ABCF2	chr7	150904922	150924460	7q36.1			Index gene	ATP binding cassette subfamily F member 2																	
SMARCD3	chr7	150936058	150974231	7q36.1			Index gene	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3																	
NUB1	chr7	151038846	151075548	7q36.1			Index gene	negative regulator of ubiquitin like proteins 1																	
RHEB	chr7	151163097	151217010	7q36.1			Index gene	Ras homolog enriched in brain																	
PRKAG2	chr7	151253200	151574316	7q36.1			Index gene	protein kinase AMP-activated non-catalytic subunit gamma 2																	
GALNT11	chr7	151722758	151819432	7q36.1			Index gene	polypeptide N-acetylgalactosaminyltransferase 11																	
ACTR3B	chr7	152456833	152552464	7q36.1-q36.2			Index gene	ARP3 actin related protein 3 homolog B																	
DPP6	chr7	153584181	154686000	7q36.2			Index gene	dipeptidyl peptidase like 6																	
INSIG1	chr7	155089485	155101945	7q36.3			Index gene	insulin induced gene 1																	
LMBR1	chr7	156473569	156685902	7q36.3			Index gene	limb development membrane protein 1																	
UBE3C	chr7	156931654	157062066	7q36.3			Index gene	ubiquitin protein ligase E3C																	
DNAJB6	chr7	157129709	157210133	7q36.3			Index gene	DnaJ heat shock protein family (Hsp40) member B6																	
PTPRN2	chr7	157331745	158380494	7q36.3			Index gene	protein tyrosine phosphatase, receptor type N2																	
FBXO25	chr8	356807	419875	8p23.3			Index gene	F-box protein 25																	
KBTBD11	chr8	1922043	1955109	8p23.3			Index gene	kelch repeat and BTB domain containing 11																	
AGPAT5	chr8	6565877	6619021	8p23.1			Index gene	1-acylglycerol-3-phosphate O-acyltransferase 5																	
MSRA	chr8	9911778	10286401	8p23.1			Index gene	methionine sulfoxide reductase A																	
NEIL2	chr8	11627171	11644854	8p23.1			Index gene	nei like DNA glycosylase 2																	
FDFT1	chr8	11653081	11696818	8p23.1			Index gene	farnesyl-diphosphate farnesyltransferase 1																	
CTSB	chr8	11700033	11725659	8p23.1			Index gene	cathepsin B																	
TUSC3	chr8	15397595	15624158	8p22			Index gene	tumor suppressor candidate 3																	
ZDHHC2	chr8	17013835	17080241	8p22			Index gene	zinc finger DHHC-type containing 2																	
CNOT7	chr8	17086737	17104418	8p22			Index gene	CCR4-NOT transcription complex subunit 7																	
MTUS1	chr8	17501302	17658426	8p22			Index gene	microtubule associated scaffold protein 1																	
PCM1	chr8	17780365	17887457	8p22	KH	12/6/2017	Index gene	pericentriolar material 1		1	Het				LP	Recruitment of PCM1 to the centrosome by the cooperative action of DISC1 and BBS4: a candidate for psychiatric illnesses; PMID: 18762586; 1	Neuroanatomical and behavioral deficits in mice haploinsufficient for Pericentriolar material 1 (Pcm1); PMID: 25697395; 1	Expression of DISC1-interactome members correlates with cognitive phenotypes related to schizophrenia; PMID: 24940743; 1	Ciliogenesis is regulated by a huntingtin-HAP1-PCM1 pathway and is altered in Huntington disease; PMID: 21985783; 1 						ciliogenesis
ASAH1	chr8	17913807	17942507	8p22			Index gene	N-acylsphingosine amidohydrolase 1																	
PSD3	chr8	18384812	18871196	8p22			Index gene	pleckstrin and Sec7 domain containing 3																	
INTS10	chr8	19674917	19709586	8p21.3			Index gene	integrator complex subunit 10																	
ATP6V1B2	chr8	20054703	20079207	8p21.3			Index gene	ATPase H+ transporting V1 subunit B2																	
XPO7	chr8	21777179	21864096	8p21.3			Index gene	exportin 7																	
DMTN	chr8	21906465	21940038	8p21.3			Index gene	dematin actin binding protein																	
PHYHIP	chr8	22077215	22089851	8p21.3			Index gene	phytanoyl-CoA 2-hydroxylase interacting protein																	
PPP3CC	chr8	22298482	22398657	8p21.3			Index gene	protein phosphatase 3 catalytic subunit gamma																	
CCAR2	chr8	22462144	22477983	8p21.3			Index gene	cell cycle and apoptosis regulator 2																	
RHOBTB2	chr8	22844929	22877710	8p21.3			Index gene	Rho related BTB domain containing 2																	
CHMP7	chr8	23101149	23119513	8p21.3			Index gene	charged multivesicular body protein 7																	
R3HCC1	chr8	23145604	23153792	8p21.3			Index gene	R3H domain and coiled-coil containing 1																	
NEFM	chr8	24771273	24776606	8p21.2			Index gene	neurofilament medium																	
PPP2R2A	chr8	26149006	26230195	8p21.2			Index gene	protein phosphatase 2 regulatory subunit Balpha																	
BNIP3L	chr8	26240522	26270644	8p21.2			Index gene	BCL2 interacting protein 3 like																	
PNMA2	chr8	26362195	26371483	8p21.2			Index gene	paraneoplastic Ma antigen 2																	
DPYSL2	chr8	26371708	26515693	8p21.2			Index gene	dihydropyrimidinase like 2																	
STMN4	chr8	27092839	27115956	8p21.2			Index gene	stathmin 4																	
CLU	chr8	27454433	27472328	8p21.1			Index gene	clusterin																	
ELP3	chr8	27947747	28048669	8p21.1			Index gene	elongator acetyltransferase complex subunit 3																	
EXTL3	chr8	28558989	28611207	8p21.1			Index gene	exostosin like glycosyltransferase 3																	
SARAF	chr8	29920527	29940724	8p12			Index gene	store-operated calcium entry associated regulatory factor																	
LEPROTL1	chr8	29952921	29995222	8p12			Index gene	leptin receptor overlapping transcript-like 1																	
DCTN6	chr8	30013812	30041155	8p12			Index gene	dynactin subunit 6																	
GSR	chr8	30535579	30585486	8p12			Index gene	glutathione-disulfide reductase																	
PPP2CB	chr8	30643125	30670352	8p12			Index gene	protein phosphatase 2 catalytic subunit beta																	
DUSP26	chr8	33448847	33457624	8p12			Index gene	dual specificity phosphatase 26																	
PROSC	chr8	37620100	37637286	#N/A			Index gene	#N/A																	
ASH2L	chr8	37963010	37997598	8p11.23			Index gene	ASH2 like histone lysine methyltransferase complex subunit																	
DDHD2	chr8	38089008	38120287	8p11.23			Index gene	DDHD domain containing 2																	
GOLGA7	chr8	41348080	41368499	8p11.21			Index gene	golgin A7																	
GPAT4	chr8	41435706	41482520	8p11.21			Index gene	glycerol-3-phosphate acyltransferase 4																	
AP3M2	chr8	42010463	42028701	8p11.21			Index gene	adaptor related protein complex 3 mu 2 subunit																	
POLB	chr8	42195972	42229331	8p11.21			Index gene	DNA polymerase beta																	
VDAC3	chr8	42249278	42263455	8p11.21			Index gene	voltage dependent anion channel 3																	
SMIM19	chr8	42396297	42408140	8p11.21			Index gene	small integral membrane protein 19																	
FNTA	chr8	42911441	42940932	8p11.21			Index gene	farnesyltransferase, CAAX box, alpha																	
PRKDC	chr8	48685668	48872743	8q11.21			Index gene	protein kinase, DNA-activated, catalytic polypeptide																	
RB1CC1	chr8	53535017	53627026	8q11.23			Index gene	RB1 inducible coiled-coil 1																	
ATP6V1H	chr8	54628102	54755871	8q11.23			Index gene	ATPase H+ transporting V1 subunit H																	
MRPL15	chr8	55047780	55061074	8q11.23			Index gene	mitochondrial ribosomal protein L15																	
RPS20	chr8	56980738	56987140	8q12.1			Index gene	ribosomal protein S20																	
IMPAD1	chr8	57870487	57906430	8q12.1			Index gene	inositol monophosphatase domain containing 1																	
FAM110B	chr8	58907112	59062277	8q12.1			Index gene	family with sequence similarity 110 member B																	
SDCBP	chr8	59465727	59495419	8q12.1			Index gene	syndecan binding protein																	
ASPH	chr8	62413114	62627199	8q12.3	BBS	12/6/2017	Index gene	aspartate beta-hydroxylase			Het				VOUS	Mutations in ASPH cause facial dysmorphism, lens dislocation, anterior-segment abnormalities, and spontaneous filtering blebs, or Traboulsi syndrome.; PMID: 24768550; 1	8q12 microduplication including CHD7: clinical report on a new patient with Duane retraction syndrome type 3.; PMID: 24206642; 2	Exome Sequencing Discerns Syndromes in Patients from Consanguineous Families with Congenital Anomalies of the Kidneys and Urinary Tract.; PMID: 27151922;1 						Gene also known as AAH, BAH, CASQ2BP1, FDLAB, HAAH, JCTN, junctin	
GGH	chr8	63927638	63951610	8q12.3			Index gene	gamma-glutamyl hydrolase																	
YTHDF3	chr8	64081111	64125346	8q12.3			Index gene	YTH N6-methyladenosine RNA binding protein 3																	
ARMC1	chr8	66514690	66546452	8q13.1			Index gene	armadillo repeat containing 1																	
PPP1R42	chr8	67900366	67940786	8q13.1			Index gene	protein phosphatase 1 regulatory subunit 42																	
COPS5	chr8	67955314	67974562	8q13.1			Index gene	COP9 signalosome subunit 5																	
TRAM1	chr8	71485452	71520694	8q13.3			Index gene	translocation associated membrane protein 1																	
RPL7	chr8	74202873	74205869	8q21.11			Index gene	ribosomal protein L7																	
STAU2	chr8	74332603	74659943	8q21.11			Index gene	staufen double-stranded RNA binding protein 2																	
TCEB1	chr8	74857372	74884522	#N/A			Index gene	#N/A																	
GDAP1	chr8	75262617	75279335	8q21.11			Index gene	ganglioside induced differentiation associated protein 1																	
STMN2	chr8	80523048	80578410	8q21.13			Index gene	stathmin 2																	
HEY1	chr8	80676244	80680098	8q21.13			Index gene	hes related family bHLH transcription factor with YRPW motif 1																	
MRPS28	chr8	80831094	80942506	8q21.13			Index gene	mitochondrial ribosomal protein S28																	
RALYL	chr8	85095452	85834078	8q21.2			Index gene	RALY RNA binding protein-like																	
C8orf59	chr8	86126287	86132651	8q21.2			Index gene	chromosome 8 open reading frame 59																	
DECR1	chr8	91013579	91064227	8q21.3			Index gene	2,4-dienoyl-CoA reductase 1																	
TMEM55A	chr8	92006501	92053203	8q21.3			Index gene	transmembrane protein 55A																	
PDP1	chr8	94929082	94938296	8q22.1			Index gene	pyruvate dehyrogenase phosphatase catalytic subunit 1																	
KIAA1429	chr8	95500004	95565746	8q22.1			Index gene	KIAA1429																	
NDUFAF6	chr8	96037213	96070944	8q22.1			Index gene	NADH:ubiquinone oxidoreductase complex assembly factor 6																	
